SFGM_FIX	NIVEL_CARGO_CAT
1060000	5
2520000	5
870000	1
800000	3
1690000	4
7230000	7
1620000	4
1600000	5
1520000	4
6610000	7
910000	3
980000	3
170000	2
2490000	4
2950000	5
8590000	7
1400000	3
2280000	2
2960000	4
1060000	3
890000	1
2020000	4
2640000	5
1500000	2
9280000	7
730000	2
3010000	3
740000	2
1450000	5
2100000	3
590000	4
2950000	7
1130000	3
1890000	3
1210000	4
940000	3
1320000	3
2290000	1
950000	2
970000	2
910000	2
910000	1
890000	2
1940000	5
1210000	3
3000000	4
1890000	2
1420000	1
440000	2
3460000	6
2150000	3
1070000	5
5540000	7
770000	2
3350000	4
4110000	6
4290000	4
440000	2
1300000	3
2530000	2
3000000	5
2130000	3
3050000	5
970000	2
2020000	5
4120000	5
3200000	5
2630000	5
170000	2
3650000	4
2830000	3
1130000	5
3450000	4
2400000	1
1560000	2
2370000	3
460000	2
3100000	3
3500000	4
1990000	4
1130000	2
2320000	5
1540000	3
4410000	5
4620000	4
2420000	5
1620000	2
490000	2
1300000	3
2440000	2
1460000	2
250000	1
1200000	2
650000	2
1440000	3
550000	3
1380000	3
1630000	4
1320000	6
2520000	5
1450000	4
2540000	3
970000	3
2830000	5
5610000	7
1540000	2
1340000	2
4270000	6
1980000	5
790000	2
5440000	5
1440000	5
1330000	3
310000	2
200000	1
2590000	4
760000	2
2160000	2
2240000	2
1380000	2
1370000	2
790000	1
3190000	3
960000	2
930000	2
2100000	4
2400000	4
1900000	3
2770000	4
2370000	7
3500000	5
3180000	5
1990000	3
6730000	6
590000	1
2080000	5
630000	5
2400000	3
1140000	1
3360000	5
470000	2
1290000	2
2090000	2
870000	1
1200000	3
1700000	5
2320000	3
1650000	2
6710000	5
2490000	4
3090000	4
5000000	5
170000	2
980000	3
2530000	2
1740000	1
1800000	3
590000	1
4120000	5
1000000	2
440000	2
4090000	5
1130000	2
2130000	2
1180000	3
5020000	6
4000000	4
1230000	2
3200000	4
3120000	4
1910000	3
1180000	2
2700000	4
940000	2
1090000	2
1040000	2
4020000	4
3220000	3
790000	1
1650000	3
2010000	3
2050000	2
1860000	6
1620000	4
1210000	2
3360000	3
2290000	4
1990000	5
1500000	2
3450000	4
1040000	2
940000	3
7430000	5
1210000	2
3470000	5
640000	2
2510000	3
4490000	6
1110000	2
1570000	3
1950000	2
1560000	5
960000	2
2050000	3
1330000	1
1130000	2
1530000	4
580000	3
1050000	2
2130000	2
2430000	4
2670000	4
1490000	3
2600000	3
450000	4
440000	2
1700000	3
440000	2
3250000	4
2960000	5
1610000	4
3310000	5
3240000	4
1320000	3
3960000	5
2830000	5
6010000	7
760000	3
2650000	5
3430000	5
1140000	2
540000	2
920000	2
1640000	2
2670000	4
1210000	1
2440000	3
3160000	5
2830000	5
930000	2
440000	2
3660000	5
2750000	5
1370000	2
1610000	1
1210000	1
590000	2
1050000	3
2110000	3
1600000	3
2960000	5
5620000	6
2650000	4
800000	2
2300000	3
6610000	7
2600000	2
3530000	7
4040000	5
8490000	6
800000	2
440000	2
4400000	5
1720000	2
7430000	7
1780000	3
1370000	3
590000	1
1750000	1
970000	4
3210000	5
8500000	7
640000	2
1450000	3
3100000	3
910000	2
2550000	5
1210000	1
1670000	6
2660000	5
6040000	7
2620000	5
2960000	5
940000	2
1200000	3
1270000	2
1480000	3
310000	2
710000	3
2870000	4
1450000	3
1510000	5
2400000	3
850000	5
1570000	2
1990000	2
1140000	2
1260000	2
1500000	2
3010000	4
1370000	5
1260000	1
11950000	7
2320000	3
4690000	7
2750000	3
1070000	2
580000	1
870000	1
960000	1
2170000	5
2400000	6
2640000	1
1120000	1
770000	2
1170000	2
1040000	2
1940000	5
1150000	4
9020000	7
1700000	2
4110000	4
1210000	2
620000	3
910000	2
1450000	2
1360000	2
1690000	2
1490000	3
3570000	6
1240000	2
1800000	3
1510000	3
4040000	6
3900000	5
3190000	4
11420000	7
820000	1
2290000	1
1530000	1
1620000	2
1040000	3
3080000	6
1710000	1
3720000	5
890000	2
1090000	3
1090000	4
970000	2
1580000	3
2960000	3
1600000	5
3290000	4
910000	3
1970000	3
2420000	2
2450000	2
2050000	3
3440000	5
2750000	3
580000	2
910000	1
440000	2
310000	2
1460000	3
1150000	3
3450000	6
2680000	3
1840000	3
1030000	3
680000	3
2540000	5
680000	3
900000	3
4440000	6
1530000	5
1230000	2
550000	3
2110000	4
410000	2
1730000	3
450000	2
1980000	4
640000	3
1120000	5
690000	1
4710000	7
2370000	1
1370000	2
6150000	7
2270000	5
2100000	4
1830000	5
1380000	3
1300000	1
590000	1
590000	1
6170000	7
2570000	5
2900000	4
1070000	3
3150000	4
970000	2
1990000	3
1620000	4
770000	2
2930000	5
2600000	2
2630000	5
1210000	2
2750000	3
2750000	3
1980000	2
3650000	4
2880000	5
3690000	4
1840000	4
2010000	3
2950000	3
1130000	3
950000	2
